s1,s2,gs,file,s1_n_words,s2_n_words,s1_n_verbs_tot,s2_n_verbs_tot,s1_n_verbs_pres,s2_n_verbs_pres,s1_n_verbs_past,s2_n_verbs_past,s1_n_nouns,s2_n_nouns,s1_n_adjectives,s2_n_adjectives,s1_n_adverbs,s2_n_adverbs,dif_n_words,dif_n_verbs_tot,dif_n_verbs_pres,dif_n_verbs_past,dif_n_nouns,dif_n_adjectives,dif_n_adverbs,jaccard_all_words,jaccard_verbs,jaccard_nouns,jaccard_adjectives,jaccard_adverbs,all_all_shared_synsets_count,all_all_shared_synsets_ratio,all_all_avg_synset_similarity,all_all_max_synset_similarity,all_verb_shared_synsets_count,all_verb_shared_synsets_ratio,all_verb_avg_synset_similarity,all_verb_max_synset_similarity,all_noun_shared_synsets_count,all_noun_shared_synsets_ratio,all_noun_avg_synset_similarity,all_noun_max_synset_similarity,all_adj_shared_synsets_count,all_adj_shared_synsets_ratio,all_adj_avg_synset_similarity,all_adj_max_synset_similarity,all_adv_shared_synsets_count,all_adv_shared_synsets_ratio,all_adv_avg_synset_similarity,all_adv_max_synset_similarity,best_all_shared_synsets_count,best_all_shared_synsets_ratio,best_all_avg_synset_similarity,best_all_max_synset_similarity,best_verb_shared_synsets_count,best_verb_shared_synsets_ratio,best_verb_avg_synset_similarity,best_verb_max_synset_similarity,best_noun_shared_synsets_count,best_noun_shared_synsets_ratio,best_noun_avg_synset_similarity,best_noun_max_synset_similarity,best_adj_shared_synsets_count,best_adj_shared_synsets_ratio,best_adj_avg_synset_similarity,best_adj_max_synset_similarity,best_adv_shared_synsets_count,best_adv_shared_synsets_ratio,best_adv_avg_synset_similarity,best_adv_max_synset_similarity,lemma_diversity,shared_lemmas_ratio,avg_lemma_similarity,max_lemma_similarity,lemma_jackard_similarity,shared_lemma_count,dice_coefficient,lemma_bigram_overlap,lemma_lcs_length,lemma_edit_distance,proportion_s1_in_s2,proportion_s2_in_s1,lemma_position_similarity
"A step in the right direction, for which the European Parliament has been striving for a long time now, is the creation of a provisional unit for judicial cooperation.","The creation of a provisional unit of judicial cooperation is a step in the right direction, not to which the European Parliament has been seeking for a long time already.",4.0,SMTeuroparl,32,32,4,4,3,3,1,1,7,7,5,5,1,2,0,0,0,0,0,0,-1,0.7931034482758621,0.6,1.0,1.0,0.0,116,0.928,0.3312299355546512,1.0,20,0.7407407407407407,0.2799187075550712,1.0,55,0.9821428571428571,0.301900639436801,1.0,13,1.0,0.5384615384615384,1.0,12,0.9230769230769231,0.5384615384615384,1.0,12,0.8,0.39421664247273763,1.0,1,0.5,0.6428571428571428,1.0,9,0.9,0.37287870435187254,1.0,0,0.0,1.0,1.0,0,0.0,0.0,0.0,15,0.8,0.3270287862320829,1.0,0.8,12,0.8888888888888888,0.5625,7,11,0.9230769230769231,0.8571428571428571,0.5535714285714285
There has been a budget heading for the funding of mine clearance and prevention programmes for many years now.,A budget line finance programmes of mine clearance and prevention for years.,4.0,SMTeuroparl,20,13,2,0,1,0,1,0,7,7,2,1,1,0,7,2,1,1,0,1,1,0.5238095238095238,0.0,0.5555555555555556,0.5,0.0,24,0.27906976744186046,0.2696078784391804,1.0,5,0.17857142857142858,0.24843457824227055,1.0,19,0.3333333333333333,0.2740189826468699,1.0,0,0.0,0.0,0.0,0,0.0,1.0,1.0,6,0.5454545454545454,0.31912516609207786,1.0,0,0.0,1.0,1.0,6,0.6,0.31912516609207786,1.0,0,0.0,0.0,0.0,0,0.0,1.0,1.0,11,0.5454545454545454,0.30846460638127304,1.0,0.5454545454545454,6,0.7058823529411765,0.15384615384615385,5,5,0.6666666666666666,0.75,0.8703703703703706
The other viewpoint illustrated by the rapporteur' s initial statement and shared by a number of members is to promote regulations and codes of conduct which are needed in order to establish among insurers ways of organising costs on a mutual basis providing everybody with guaranteed access to high-quality care and to counter the risk of discriminatory practices developing together with risk and client selection.,"The other point of view, illustrated by the initial aim of the rapporteur and shared by many colleagues, is to promote the regulations and codes of conduct necessary to establish, between insurers, the forms of cost option guaranteeing all the supply of good quality of care and to counter the risks of discriminatory practices and a selection of risks and customers.",4.0,SMTeuroparl,67,66,11,7,5,2,3,2,22,20,6,6,1,0,1,4,3,1,2,0,1,0.34285714285714286,0.5,0.25,0.33333333333333337,0.0,113,0.300531914893617,0.27160109736397925,1.0,53,0.3925925925925926,0.2599590085187474,1.0,52,0.26666666666666666,0.2741469463182762,1.0,1,0.16666666666666666,0.55,1.0,1,0.1,0.5208333333333334,1.0,17,0.3695652173913043,0.2981403682541117,1.0,3,0.42857142857142855,0.33618088260945406,1.0,13,0.37142857142857144,0.29517937683680046,1.0,1,0.5,0.75,1.0,0,0.0,1.0,1.0,49,0.3469387755102041,0.24709587854749146,1.0,0.34693877551020413,17,0.5151515151515151,0.11864406779661017,16,23,0.4722222222222222,0.5666666666666667,0.9364069952305247
The only instance in which no tax is levied is when the supplier is in a non-EU country and the recipient is in a Member State of the EU.,"The only case for which no tax is still perceived ""is an example of supply in the European Community from a third country.",3.8,SMTeuroparl,30,25,5,3,4,2,1,1,8,6,2,3,0,1,5,2,2,0,2,-1,-1,0.33333333333333337,0.33333333333333337,0.16666666666666663,0.25,0.0,12,0.11538461538461539,0.2518542818295719,1.0,4,0.18181818181818182,0.26025770389740976,1.0,8,0.11594202898550725,0.2508402942497423,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,0.1875,0.28217051828736267,1.0,0,0.0,0.0,0.0,3,0.2,0.28217051828736267,1.0,0,0.0,1.0,1.0,0,0.0,1.0,1.0,18,0.1111111111111111,0.2156113331113331,1.0,0.11111111111111116,2,0.2,0.0,2,9,0.2,0.2,0.8
"Clearly, explanations are necessary for the increased incidence of BSE, not only in France but also in other Member States.","It is obviously necessary to determine the reasons for the increase in the incidence of BSE, not only in France but also in other Member States.  ",5.0,SMTeuroparl,23,28,1,2,1,1,0,0,6,7,3,2,4,4,-5,-1,0,0,-1,1,0,0.6071428571428572,0.0,0.625,0.6666666666666667,0.6,32,0.5614035087719298,0.2734015679309576,1.0,5,0.3125,0.3439781746031746,1.0,24,0.7272727272727273,0.2612221732166294,1.0,1,1.0,1.0,1.0,1,0.16666666666666666,0.55,1.0,8,0.6153846153846154,0.33274009929446097,1.0,0,0.0,0.0,0.0,7,0.7777777777777778,0.3144738555003648,1.0,0,0.0,1.0,1.0,1,0.3333333333333333,0.625,1.0,14,0.5,0.3307849726031544,1.0,0.5,7,0.6666666666666666,0.35714285714285715,7,5,0.7,0.6363636363636364,0.9090909090909091
"Mr President, the Commission' s attitude to the right of access to documents may be seen from the internal handbook sent on 11 October to employees of the Commission to tell them how to deal with requests from MEPs for access to documents.","Mr President, we can see the Commission's position in terms of public access to documents by reading the internal manual which was given on 11 October, with the Commission officials in order to explain the way in which they were to deal with the requests from the Members with regard to access to documents.",4.8,SMTeuroparl,46,58,5,7,0,1,2,3,15,18,2,2,0,0,-12,-2,-1,-1,-3,0,0,0.3035714285714286,0.09090909090909094,0.2857142857142857,0.33333333333333337,0.0,95,0.3114754098360656,0.25846720940726686,1.0,48,0.34782608695652173,0.2511929920737859,1.0,41,0.3253968253968254,0.26007362659221017,1.0,1,0.09090909090909091,0.5138888888888888,1.0,0,0.0,0.5,0.5,11,0.36666666666666664,0.26580802818253246,1.0,0,0.0,0.2222222222222222,0.2222222222222222,10,0.37037037037037035,0.26375265268890996,1.0,1,1.0,1.0,1.0,0,0.0,1.0,1.0,32,0.3125,0.21283584810682712,1.0,0.3125,10,0.47619047619047616,0.1,13,15,0.5263157894736842,0.43478260869565216,0.9461538461538461
"I stress this point because the market cannot regulate everything, which is why competition is not completely unrestricted, nor should it be.","I insist on this point because the market cannot regulate all and that, accordingly, it does not have there nor cannot have there of competition without limits.",4.8,SMTeuroparl,26,32,4,5,2,2,0,0,5,4,2,1,3,6,-6,-1,0,0,1,1,-3,0.4,0.16666666666666663,0.5,0.5,0.25,57,0.6627906976744186,0.2673056385376359,1.0,22,0.7096774193548387,0.2493805578175326,1.0,35,0.7608695652173914,0.27438904040240597,1.0,0,0.0,0.0,0.0,0,0.0,0.5,0.5,4,0.4,0.45966386554621846,1.0,1,0.5,0.6666666666666666,1.0,3,0.6,0.43126750700280114,1.0,0,0.0,0.0,0.0,0,0.0,0.5,0.5,12,0.3333333333333333,0.3166762490981241,1.0,0.33333333333333337,4,0.5,0.16666666666666666,4,4,0.5,0.5,1.0
"After all, it is by no means certain that the proposed definition of equitable price is better than any other, because the various definitions that are currently in use in the Member States are all perfectly satisfactory.","Indeed, it is not absolutely certain that the definition of fair price proposed is better than another, because the different definitions are currently used in the Member States are enough is enough.",4.4,SMTeuroparl,40,35,5,7,4,5,1,2,7,5,5,5,3,5,5,-2,-1,-1,2,0,-2,0.4878048780487805,0.75,0.7142857142857143,0.125,0.33333333333333337,76,0.5891472868217055,0.34221755515338337,1.0,17,0.68,0.31431600164239054,1.0,34,0.85,0.2583177481882882,1.0,5,0.45454545454545453,0.5396825396825397,1.0,15,0.6818181818181818,0.5223214285714286,1.0,10,0.5263157894736842,0.37724400542747566,1.0,1,1.0,1.0,1.0,6,0.6666666666666666,0.31303279240171106,1.0,0,0.0,0.5,0.5,2,0.6666666666666666,0.6666666666666666,1.0,21,0.38095238095238093,0.2888301241242418,1.0,0.38095238095238093,8,0.5517241379310345,0.07142857142857142,7,10,0.5714285714285714,0.5333333333333333,0.9117647058823529
"Mr President, ladies and gentlemen, I should like to say a few words on the joint resolution, which will, of course, be passed.","Mr. President, my honourable Members, I would like to intervene on the joint resolution that obviously we will vote.",3.5,SMTeuroparl,29,22,4,3,0,0,1,0,8,4,2,2,0,2,7,1,0,1,4,0,-2,0.2777777777777778,0.16666666666666663,0.19999999999999996,0.33333333333333337,0.0,42,0.2857142857142857,0.2578616980900912,1.0,9,0.15789473684210525,0.2775303394751174,1.0,26,0.3333333333333333,0.2459804751545098,1.0,4,0.6666666666666666,0.58,1.0,0,0.0,0.5,0.5,5,0.3125,0.28181582229473695,1.0,0,0.0,0.0,0.0,5,0.38461538461538464,0.28181582229473695,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,17,0.29411764705882354,0.2107792804073796,1.0,0.2941176470588235,5,0.45454545454545453,0.1111111111111111,5,7,0.45454545454545453,0.45454545454545453,0.9818181818181818
I also voted against a text which calls for the incorporation of the Charter of Fundamental Rights into the eventual Treaty of Nice.,I also voted against a text which requires the incorporation of the Charter of the fundamental rights in the future treaty which will be adopted in Nice.,4.8,SMTeuroparl,24,28,2,4,1,1,1,2,6,7,3,2,1,1,-4,-2,0,-1,-1,1,0,0.6153846153846154,0.19999999999999996,0.8571428571428572,0.6666666666666667,1.0,71,0.5419847328244275,0.30988885817368217,1.0,12,0.23529411764705882,0.23681941253695526,1.0,26,0.6190476190476191,0.27489424952495334,1.0,6,0.75,0.5625,1.0,11,1.0,0.5454545454545454,1.0,9,0.6428571428571429,0.3498530889265617,1.0,0,0.0,0.0,0.0,8,0.8,0.341826583851581,1.0,0,0.0,1.0,1.0,1,1.0,1.0,1.0,14,0.6428571428571429,0.2699326136826137,1.0,0.6428571428571428,9,0.782608695652174,0.3125,9,3,0.8181818181818182,0.75,0.9907407407407407
There has been a budget heading for the funding of mine clearance and prevention programmes for many years now.,A budget line finances clearance programmes and of prevention since years.,3.0,SMTeuroparl,20,12,2,0,1,0,1,0,7,7,2,0,1,0,8,2,1,1,0,2,1,0.40909090909090906,0.0,0.5555555555555556,0.0,0.0,20,0.23255813953488372,0.271658445452565,1.0,3,0.10714285714285714,0.2459228145591782,1.0,17,0.2982456140350877,0.2763766444496859,1.0,0,0.0,0.0,0.0,0,0.0,1.0,1.0,5,0.45454545454545453,0.3297605901334893,1.0,0,0.0,1.0,1.0,5,0.5,0.3297605901334893,1.0,0,0.0,0.0,0.0,0,0.0,1.0,1.0,12,0.4166666666666667,0.29670915504248835,1.0,0.41666666666666663,5,0.5882352941176471,0.0,4,6,0.5555555555555556,0.625,0.9111111111111111
"Fifty-seven senators, including 24 Republicans, have signed the letter.","Of those who signed the letter, 57 are senators, including 24 Republicans.",5.0,SMTeuroparl,12,15,3,3,2,2,1,1,3,3,1,0,0,0,-3,0,0,0,0,1,0,0.47058823529411764,0.19999999999999996,1.0,0.0,0.0,40,0.975609756097561,0.31319565090233753,1.0,15,1.0,0.28317845117845114,1.0,21,1.0,0.31846869715994486,1.0,1,1.0,1.0,1.0,0,0.0,1.0,1.0,6,0.8571428571428571,0.4495132060921535,1.0,1,1.0,1.0,1.0,5,1.0,0.4274937343358396,1.0,0,0.0,1.0,1.0,0,0.0,1.0,1.0,8,0.75,0.256901035472464,1.0,0.75,6,0.8571428571428571,0.5,4,5,0.8571428571428571,0.8571428571428571,0.5714285714285714
"I find it rather odd that people are already trying to tie the Commission's hands in relation to the proposal for a directive, while at the same calling on it to present a Green Paper on the current situation with regard to optional and supplementary health insurance schemes.",I find it a little strange to now obliging the Commission to a motion for a resolution and to ask him at the same time to draw up a Green Paper on the current state of voluntary insurance and supplementary sickness insurance.,4.4,SMTeuroparl,51,43,7,4,5,2,0,0,12,10,6,7,2,1,8,3,3,0,2,-1,1,0.3157894736842105,0.09999999999999998,0.23529411764705888,0.4444444444444444,0.0,64,0.19047619047619047,0.25197578101669427,1.0,23,0.1597222222222222,0.24268213116922896,1.0,33,0.2129032258064516,0.25332887872434845,1.0,3,0.21428571428571427,0.5214285714285715,1.0,0,0.0,0.5,0.5,7,0.2,0.2693172171767934,1.0,0,0.0,0.0,0.0,6,0.2222222222222222,0.26483583240811065,1.0,0,0.0,0.5,0.5,0,0.0,0.0,0.0,35,0.2,0.2528290240461293,1.0,0.19999999999999996,7,0.3333333333333333,0.05128205128205128,7,17,0.2916666666666667,0.3888888888888889,0.8452380952380951
